date,likes,user,location,text
2022-06-17 21:45:17+00:00,0,marsccp_,"Campo Grande, Brasil",eu amo a facilidade que as vendedoras da boticário tem em enfiar produto em mim
2022-06-17 21:44:04+00:00,1,Johvalentee,,comprei um Floratta e um creme da Boticário 🤤
2022-06-17 21:40:32+00:00,0,Mstewswan,,"não consigo fazer esse negócio que tem no instagram de ""vc/seu cheiro"" pq eu uso um monte de perfume da minha mãe ela tem vários diferentes aquela mulher não pode ver uma promoção na boticário"
2022-06-17 21:39:51+00:00,0,Tofetoncio,,O Boticário você não é real você não existe você é só uma loja saia da minha cabeça por favor 😞😞😞😞😞😞😞😞😞😞😞😞
2022-06-17 21:35:10+00:00,0,kamyllalisboa,Arapiraca,"Meus perfumes acabaram, daí hoje coloquei um perfume que dei a mAinha e lembrei pq eu dei, ODEIO O CHEIRO. MEU DEUS NÃO SUPORTO LILLY DO BOTICÁRIO"
2022-06-17 21:32:09+00:00,0,fehcavalcanti,,"Fui na Boticário pra experimentar um perfume que eu tava curiosa, amei e tava sem estoque na loja. Comprei no site, paguei e agora cancelaram minha compra porque não tem estoque. Não me querem cheirosa! 🥲"
2022-06-17 21:29:24+00:00,1,lulymig,"São Leopoldo, Brasil",Até comprei um sabonete líquido da boticário pra mim pra alcançar a meta
2022-06-17 21:25:34+00:00,1,ChinaCuponsBR,"Vitória, Brasil","CUPONS BOTICÁRIO 
20% de desconto na primeira compra 
Cupom: BEMVINDO20 
https://t.co/NsYqtlUY8t 
30% de desconto na primeira compra pelo Aplicativo 
Cupom: BEMVINDO30 
https://t.co/aF1Nh9mc8j 
 
Página de Cupons: https://t.co/83qkfIPkR7 
 
Canal Telegram https://t.co/78Gr0PQMEW https://t.co/oOxSAG3ffw"
2022-06-17 21:25:15+00:00,0,Kaahmorena0304,🫶,Comprar kit da o Boticário virou vício🤦
2022-06-17 21:20:23+00:00,4,_O_Silencio,,@Damadeferroofic @FabioTalhari Usa perfume da Boticário e compra na Magalu.
2022-06-17 21:11:48+00:00,0,eduardamunniz_,"Três Rios, Brasil","achei uma promoção na Internet de dois cremes de 400ml da o boticário por 50 reais, aproveitei e comprei"
2022-06-17 21:06:51+00:00,0,viyag2,,"""voce vs seu cheiro"" amor voce fede a esgoto, nao a o boticário"
